,賣場,品名,品牌,種類,價格,圖片,網址
0,家樂福,家樂福抽取式衛生紙-FSC-110PCx24包,家樂福,抽取,$269.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwdd74c1e9/images/large/0260014_-fsc-110x24.png?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%AE%B6%E6%A8%82%E7%A6%8F/1220110500101.html
1,家樂福,唯潔雅抽取式衛生紙100PCx24,唯潔雅,抽取,$208.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwede0c52c/images/large/0275779.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%94%AF%E6%BD%94%E9%9B%85/1220107700124.html
2,家樂福,倍潔雅無漂白PEFC衛生紙-100PC,倍潔雅,,$142.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw8c24e787/images/large/0230125_efc.png?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E5%80%8D%E6%BD%94%E9%9B%85/1220111000112.html
3,家樂福,五月花清膚柔潤抽取衛生紙-100PC,五月花,抽取,$867.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwc5d8e5e5/images/large/0239094.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E4%BA%94%E6%9C%88%E8%8A%B1/1220104900172.html
4,家樂福,五月花清膚柔潤抽取衛生紙-100PC,五月花,抽取,$289.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwcaa53813/images/large/0239093.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E4%BA%94%E6%9C%88%E8%8A%B1/1220104900124.html
5,家樂福,情人平版衛生紙-300PC,情人,平版,$99.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw41e5582c/images/large/0213879.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%83%85%E4%BA%BA/1220001700106.html
6,家樂福,【抽取】百吉抽取衛生紙,百吉,抽取,$169.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw028cbdce/images/large/0007270.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E7%99%BE%E5%90%89/1220101600112.html
7,家樂福,情人平版衛生紙-300PC,情人,平版,$594.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf3e9fa05/images/large/0213880.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%83%85%E4%BA%BA/1220001700136.html
8,家樂福,百吉抽取衛生紙-130PC,百吉,抽取,"$1,014.00",https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw268871fc/images/large/0060216.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E7%99%BE%E5%90%89/1220101600172.html
9,家樂福,【捲筒式】春風捲筒衛生紙-12 Roll捲,春風,捲筒,$792.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw06cb25f5/images/large/0118700.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E6%98%A5%E9%A2%A8/1220200500108.html
10,家樂福,舒潔濕式衛生紙-40PC,舒潔,濕式,$132.00,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf7c75333/images/large/0113690.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%88%92%E6%BD%94/1220102200103.html
11,家樂福,舒潔濕式衛生紙-40PCx36,舒潔,濕式,"$1,510.00",https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe170a0f2/images/large/0113689.jpeg?sw=300&bgcolor=FFFFFF,https://online.carrefour.com.tw/zh/%E8%88%92%E6%BD%94/1220102200136.html
